ECOSYSTEM,SKILL,RATING,COMMENTS,I'D LIKE TO LEARN,LEVEL
,,,,,
React,React,0,,TRUE,
React,Next.js,0,,TRUE,
React,Redux,0,,TRUE,
React,ReactCssTransition,0,,TRUE,
React,Redux-Sagas,0,,TRUE,
React,i18Next,0,,TRUE,
React,React Native Web,0,,TRUE,
React,Gatsby,0,,TRUE,
,,,,,
NodeJS,Express,0,,TRUE,
NodeJS,Systemic,0,,TRUE,
NodeJS,NPM,2,,FALSE,I understand semver and the deatils about package.json structure
NodeJS,Webpack,0,,TRUE,
NodeJS,CLI,0,,TRUE,
NodeJS,Debugging/Profiling,0,,TRUE,
NodeJS,Logging,0,,TRUE,
NodeJS,Build tools (Webpack not included),0,,TRUE,
NodeJS,Hardware,0,,TRUE,
NodeJS,Control Flow,0,,TRUE,
NodeJS,Streams,0,,TRUE,
NodeJS,Testing,0,,TRUE,
NodeJS,Security,0,,TRUE,
NodeJS,Process Management,0,,TRUE,
NodeJS,Electron,2,,FALSE,I understand the basics and can read and modify existing code.
NodeJS,Scraping,0,,TRUE,
NodeJS,Core,0,,TRUE,
NodeJS,Events Arch,0,,TRUE,
,,,,,
Testing,Cypress,0,,TRUE,
Testing,Chai,0,,TRUE,
Testing,Mocha,0,,TRUE,
Testing,Sinon,0,,TRUE,
Testing,Detox,0,,TRUE,
Testing,Jest,0,,TRUE,
,,,,,
Web Client,Web Client,3,,FALSE,I design major new features and demonstrates a nuanced understanding of browser constraints
Web Client,CSS,4,,FALSE,"I have an advanced knowledge of HTML.
I know all style rules and when they apply to specific tags.
I know sibling selectors, like > and +.
I know how to solve style issues caused by browser compatibility.
I know how to use media queries to build responsive sites and elements.
I know how to use :before & :after to make style driven elements in the DOM."
Web Client,HTML,3,,FALSE,"I know almost all the HTML tags
I have the ability to manipulate the DOM
"
Web Client,SASS,2,,FALSE,"I develop new solutions that use it.
I can implement variables, nesting, and imports"
Web Client,D3.js,0,,TRUE,
Web Client,Three.js,0,,TRUE,
Web Client,Cesium.js,0,,TRUE,
Web Client,Angular,2,,FALSE,I can modify effectively already working solutions to include new features
Web Client,Vue,3,,FALSE,"I know Vue core concepts
I know how to improve State Management by using Vuex
I know Advanced components
I know Props & Slots
I know how to connecting to Servers via Http — Using vue-resource
I know about testing"
Web Client,GreenSock,0,,TRUE,
