ECOSYSTEM,SKILL,RATING,COMMENTS,I'D LIKE TO LEARN,LEVEL
,,,,,
React,React,3,,FALSE,
React,Next.js,0,,FALSE,
React,Redux,0,,FALSE,
React,ReactCssTransition,0,,FALSE,
React,Redux-Sagas,0,,FALSE,
React,i18Next,2,,FALSE,
React,React Native Web,0,,FALSE,
React,Gatsby,0,,FALSE,
,,,,,
NodeJS,Express,2,,FALSE,
NodeJS,Systemic,0,,FALSE,
NodeJS,NPM,1,,FALSE,
NodeJS,Webpack,0,,FALSE,
NodeJS,CLI,0,,FALSE,
NodeJS,Debugging/Profiling,0,,FALSE,
NodeJS,Logging,0,,FALSE,
NodeJS,Build tools (Webpack not included),0,,FALSE,
NodeJS,Hardware,0,,FALSE,
NodeJS,Control Flow,1,,FALSE,
NodeJS,Streams,1,,FALSE,
NodeJS,Testing,4,,FALSE,
NodeJS,Security,0,,FALSE,
NodeJS,Process Management,0,,FALSE,
NodeJS,Electron,0,,FALSE,
NodeJS,Scraping,0,,FALSE,
NodeJS,Core,1,,FALSE,
NodeJS,Events Arch,0,,FALSE,
,,,,,
Testing,Cypress,3,,FALSE,
Testing,Chai,0,,FALSE,
Testing,Mocha,0,,FALSE,
Testing,Sinon,0,,FALSE,
Testing,Detox,0,,FALSE,
Testing,Jest,3,,FALSE,
,,,,,
Web Client,Web Client,3,,FALSE,
Web Client,CSS,3,,FALSE,
Web Client,HTML,3,,FALSE,
Web Client,SASS,3,,FALSE,
Web Client,D3.js,0,,TRUE,
Web Client,Three.js,0,,TRUE,
Web Client,Cesium.js,0,,FALSE,
Web Client,Angular,3,,FALSE,
Web Client,Vue,1,,FALSE,
Web Client,GreenSock,0,,FALSE,
Web Client,Storybook,1,,FALSE,
Web Client,Formik,0,,FALSE,
,,,,,
Cloud,Cloud,0,,FALSE,
Cloud,Azure,1,,FALSE,
Cloud,AWS,1,,FALSE,
Cloud,Google,0,,FALSE,
,,,,,
DataBase,MongoDB,2,,TRUE,
DataBase,PostgreSQL,0,,FALSE,
DataBase,MySQL,0,,FALSE,
DataBase,Redis,0,,FALSE,
,,,,,
GIS,Carto,0,,TRUE,
GIS,OpenLayers,0,,FALSE,
GIS,GoogleMaps,0,,TRUE,
GIS,LeafLet,0,,FALSE,
GIS,OGC Standards,0,,FALSE,
GIS,ArcGIS,0,,TRUE,
,,,,,
Server,Server,0,,FALSE,
Server,Tomcat,0,,FALSE,
Server,Apache,0,,FALSE,
Server,Kubernetes,0,,FALSE,
Server,Terraforms,0,,FALSE,
Server,Docker,0,,FALSE,
Server,Heroku,0,,FALSE,
,,,,,
CI/CD,Infrastructure and automation,0,,FALSE,
CI/CD,Jenkins,1,,FALSE,
CI/CD,Bamboo,0,,FALSE,
CI/CD,Travis,0,,FALSE,
CI/CD,Circle,0,,FALSE,
CI/CD,Fastlane,0,,FALSE,
,,,,,
Management Tools,Jira,2,,FALSE,
Management Tools,Confluence,2,,FALSE,
Management Tools,Monday,0,,FALSE,
Management Tools,Azure Board,3,,FALSE,
Management Tools,Trello,2,,FALSE,
Management Tools,Redmine,0,,FALSE,
Management Tools,Airtable,0,,FALSE,
Management Tools,Harvest,0,,FALSE,
,,,,,
Repositories,Git,2,,TRUE,
Repositories,SVN,0,,FALSE,
,,,,,
Java,Clojure,0,,FALSE,
Java,Spring,0,,FALSE,
Java,SpringBoot,0,,FALSE,
Java,Gradle,0,,FALSE,
Java,Maven,0,,FALSE,
,,,,,
Python,Django,0,,FALSE,
,,,,,
Agile,Scrum,2,,TRUE,
Agile,Lean and agile practices,2,,TRUE,
Agile,Kanban,0,,FALSE,
Agile,Retrospectives,2,,TRUE,
,,,,,
Language,English,3,,FALSE,
Language,French,0,,FALSE,
Language,German,0,,FALSE,
Language,Italian,0,,FALSE,
Language,Chinese,0,,FALSE,
,,,,,
Bus,RabbitMQ,0,,FALSE,
