ECOSYSTEM,SKILL,RATING,COMMENTS,I'D LIKE TO LEARN,LEVEL
,,,,,
React,React,4,,FALSE,I can define complex architectures and I can provide optimised solutions
React,Next.js,4,,FALSE,I can define complex architectures and I can provide optimised solutions
React,Redux,3,,FALSE,"I am able to keep a normalised state, using complex reducers in order to guarantee immutability and flatten/efficient
 structures"
React,ReactCssTransition,4,,FALSE,I know how to create transitions between pages. I have advanced CSS knowledge to create simple animations integrated with the library mixed with react components
React,Redux-Sagas,3,,FALSE,I can write both sync and async sagas processes
React,i18Next,4,,FALSE,I can use advance features at multilingual project
React,React Native Web,0,,TRUE,
React,Gatsby,0,,TRUE,
,,,,,
NodeJS,Express,3,,FALSE,"I am capable of write handlers for parametrized routes, also I can manipulate middleware, Request and Response objects"
NodeJS,Systemic,3,,FALSE,I am able to add a custom component to a systemic based application/service
NodeJS,NPM,2,,FALSE,I understand semver and the deatils about package.json structure
NodeJS,Webpack,1,,FALSE,I can effectively modify an existing solutions implemented with it
NodeJS,CLI,0,,FALSE,
NodeJS,Debugging/Profiling,3,,FALSE,"I can handle advance debuging problems in my project (circular dependencies, REPL, memory leaks )"
NodeJS,Logging,3,,FALSE,"I am not afraid to use advance tools (levels, filtering)"
NodeJS,Build tools (Webpack not included),0,,FALSE,
NodeJS,Hardware,0,,FALSE,
NodeJS,Control Flow,0,,FALSE,
NodeJS,Streams,0,,FALSE,
NodeJS,Testing,3,,FALSE,I am able to implement new tests for Unit testing or E2E testing
NodeJS,Security,0,,FALSE,
NodeJS,Process Management,0,,FALSE,
NodeJS,Electron,0,,FALSE,
NodeJS,Scraping,0,,FALSE,
NodeJS,Core,0,,FALSE,
NodeJS,Events Arch,0,,FALSE,
,,,,,
Testing,Cypress,2,,FALSE,"I can develop new solutions that use it. I am able to implement a not so basic text suite with its related fixtures.
"
Testing,Chai,3,,FALSE,"I can develop new solutions that use it.
I can implement different assertion types with different methods (should, expect, assert)"
Testing,Mocha,2,,FALSE,I work effectively modifying existing solutions implemented with it.
Testing,Sinon,0,,FALSE,
Testing,Detox,0,,FALSE,
Testing,Jest,2,,FALSE,"I develop new solutions that use it and I know how to set up a project which uses jest.
I know about different jest aspects like assertions, snapshots, runner methods (it, test, describe) and how to write not quite complex tests"
,,,,,
Web Client,Web Client,0,,TRUE,
Web Client,CSS,4,,FALSE,"I have an advanced knowledge of HTML.
I know all style rules and when they apply to specific tags.
I know sibling selectors, like > and +.
I know how to solve style issues caused by browser compatibility.
I know how to use media queries to build responsive sites and elements.
I know how to use :before & :after to make style driven elements in the DOM."
Web Client,HTML,4,,FALSE,"Builds HTML documents semantically
Knows how the HTML will be read by Google, Facebook, etc. for content"
Web Client,SASS,3,,FALSE,"I can implement advanced concepts like mixins, extends, sass built-in function, and operators"
Web Client,D3.js,2,,FALSE,I develop new solutions that use it.
Web Client,Three.js,0,,TRUE,
Web Client,Cesium.js,0,,FALSE,
Web Client,Angular,0,,FALSE,
Web Client,Vue,0,,FALSE,
Web Client,GreenSock,3,,FALSE,"I am able to develop new solutions that use it.
i can implement complex animations"
Web Client,Storybook,2,,TRUE,I can use knobs to interact with the component
Web Client,Formik,0,,FALSE,
,,,,,
Cloud,Cloud,0,,FALSE,
Cloud,Azure,2,,FALSE,"I know the basic entities of azure, as resource groups. I'm able to modify existing resources in a project in azure and to analyze the operation of azure (search in logs or analyze metrics) as well as generate its own alerts. I understand how azure storage works."
Cloud,AWS,1,,FALSE,I'm able to use the portal or resources of a project mounted on aws.
Cloud,Google,0,,FALSE,
,,,,,
DataBase,MongoDB,2,,FALSE,I know how to install and run a MongoDB instance and how to run complex queries with aggregation pipeline and how to create a basic index
DataBase,PostgreSQL,0,,FALSE,
DataBase,MySQL,0,,TRUE,
DataBase,Redis,0,,TRUE,
,,,,,
GIS,Carto,0,,FALSE,
GIS,OpenLayers,0,,FALSE,
GIS,GoogleMaps,0,,FALSE,
GIS,LeafLet,0,,FALSE,
GIS,OGC Standards,0,,FALSE,
GIS,ArcGIS,0,,FALSE,
,,,,,
Server,Server,0,,FALSE,
Server,Tomcat,0,,FALSE,
Server,Apache,0,,FALSE,
Server,Kubernetes,1,,TRUE,"I understand the concepts of pod, service, deployment and replica set."
Server,Terraforms,3,,FALSE,"I'm able to create resources in terraform referenced to other resources or create advanced resources. I understand how terraform manages the state. I'm capable of creating a zero infrastructure using terraform by configuring state storage in both cloud and local. I'm capable of configuring resources by managing their life cycle, through provisioners."
Server,Docker,2,,TRUE,"I'm able to create my own images. I'm able to deploy docker containers with a custom configuration. I'm able to monitoring the containers (on a basic level, e.g. know that they are running).
"
Server,Heroku,2,,FALSE,I know how to integrate Add-ons and how to read logs. Also I know about Heroku Private spaces. I know how to deploy an SQL instance and how to deploy a Redis instance.
,,,,,
CI/CD,Infrastructure and automation,0,,FALSE,
CI/CD,Jenkins,0,,FALSE,
CI/CD,Bamboo,0,,FALSE,
CI/CD,Travis,2,,FALSE,I can customise process integrating some tools and languages. I'm able to configure previous steps and have a knowledge about the lifecycle in Travis process. I know how to debug Travis process.
CI/CD,Circle,0,,FALSE,
CI/CD,Fastlane,0,,FALSE,
,,,,,
Management Tools,Jira,2,,FALSE,I have worked sometimes with this tool and wouldn't be a problem to adapt to use it assiduously
Management Tools,Confluence,2,,FALSE,I have worked sometimes with this tool and wouldn't be a problem to adapt to use it assiduously
Management Tools,Monday,0,,FALSE,
Management Tools,Azure Board,3,,FALSE,I work with this tool habitually in my day to day and I have a good knowledge of it
Management Tools,Trello,2,,FALSE,I have worked sometimes with this tool and wouldn't be a problem to adapt to use it assiduously
Management Tools,Redmine,0,,FALSE,
Management Tools,Airtable,0,,FALSE,
Management Tools,Harvest,2,,FALSE,I have worked sometimes with this tool and wouldn't be a problem to adapt to use it assiduously
,,,,,
Repositories,Git,2,,FALSE,I work day by day with this tool and I know the usual procedures to work in a team with this tool
Repositories,SVN,0,,FALSE,
,,,,,
Java,Clojure,0,,FALSE,
Java,Spring,0,,FALSE,
Java,SpringBoot,0,,FALSE,
Java,Gradle,0,,FALSE,
Java,Maven,0,,FALSE,
,,,,,
Python,Django,0,,FALSE,
,,,,,
Agile,Scrum,0,,FALSE,
Agile,Lean and agile practices,0,,FALSE,
Agile,Kanban,0,,FALSE,
Agile,Retrospectives,2,,FALSE,I regularly participate in retrospectives and I am responsible for following up the actions that arise
,,,,,
Language,English,3,,FALSE,"I have very high knowledge in the language, you can write and read practically any text and have fluent conversations with native people indistinctly of their accents. My level is similar to the C1 certification."
Language,French,0,,FALSE,
Language,German,0,,FALSE,
Language,Italian,0,,FALSE,
Language,Chinese,4,,FALSE,This is my native language or you are bilingual. My level is similar to the C2 certification.
,,,,,
Bus,RabbitMQ,0,,FALSE,
Bus,Kafka,0,,FALSE,
Bus,Azure Service Bus,3,,FALSE,"I have used Azure Service Bus in some projects. I use a broker and publish messages and subscribe to queues, but I didn't configure it."
,,,,,
Cluster,Openshift,0,,FALSE,
,,,,,
Big Data,Spark,0,,FALSE,
Big Data,Hive,0,,FALSE,
Big Data,Hadoop,0,,FALSE,
,,,,,
Virtualization,VirtualBox,0,,FALSE,
Virtualization,VMware,0,,FALSE,
Virtualization,Vagrant,0,,FALSE,
,,,,,
UX/UI,Sketch,3,,FALSE,"I have a deep knowledge of this tool, I make use of its advanced functionalities and I can solve the vast majority of problems."
UX/UI,Photoshop,3,,FALSE,"I have a deep knowledge of this tool, I make use of its advanced functionalities and I can solve the vast majority of problems."
UX/UI,Illustrator,2,,FALSE,I have worked occasionally with this tool and I know how to use it for everyday tasks.
UX/UI,Zeplin,2,,FALSE,I have worked occasionally with this tool and I know how to use it for everyday tasks.
UX/UI,Marvel,0,,FALSE,
,,,,,
React Native,React Navigation,0,,TRUE,
React Native,Native API,0,,TRUE,
React Native,SVG,0,,TRUE,
React Native,Animations,0,,TRUE,
,,,,,
Other,Scala,0,,FALSE,
Other,Shell,0,,FALSE,
Other,StreamingTechnology,0,,FALSE,
,,,,,
Generic,Security,0,,FALSE,
Generic,Software design,0,,FALSE,
Generic,Good development practices,3,,FALSE,I can implement a range of automated testing types. I can apply good refactoring techniques to ensure that the task at hand can be achieved without compromising the maintainability of the codebase. I can select the appropriate tools and libraries. I can teach others how to write consistently effective and valuable automated tests. I work to teach others and improve the team's development practices.
Generic,Technical Ownership,3,,FALSE,"I can resolve major production issues and drive remedial actions that ensure the necessary lessons are learned and as a result, the team and the system improve. I can use my skills to help a team that I don't actively work on and ensure they meet a deadline or resolve an issue. I lead from behind by addressing difficult blockers and breaking down technical challenges into small pieces that can be solved by the rest of my team."
Generic,Architecture,1,,FALSE,I understand the basics of software architecture and its importance. I can follow a simple architecture when it is explained to me. I have an understanding of inter-service communication and I am aware of the key synchronous and asynchronous integration patterns. I understand the key difference between the main types of general purpose databases and what sort of data are suited to each type.
Generic,Delivery,2,,FALSE,"I can deliver features that include sending relevant data to the analytics tools used. I understand different techniques for determining and gathering requirements. I can lead research and experimentation efforts to understand a variety of implementation options to novel technical problems. I seek to surface, communicate and mitigate delivery risks using a variety of methods such a reducing scope or suggesting sensible workarounds."
Generic,Code review,3,,FALSE,"I carry out regular code reviews to the majority of the team members, I can give constructive feedback and not only find errors, but also give some advice to make more robust and efficient developments."
,,,,,
Management,Project planning,2,,TRUE,i can plan a medium size project and anticipate the main blockages
Management,Project management,2,,TRUE,I effectively deliver projects through a small team
Management,Estimations,1,,TRUE,I support estimates for the problems I know best
Management,Customers relationships,1,,FALSE,"I can talks directly with the client, answering questions and asking them what they need"
Management,Presales,0,,FALSE,
Management,Leadership,0,,TRUE,
Management,Problems solving,0,,FALSE,
Management,Performance evaluation,0,,FALSE,
Management,Multitasking,2,,FALSE,"I know how to prioritize among the different tasks to reach the most important objectives first, without forgetting the others."
,,,,,
Javascript,Core Concepts,3,,FALSE,"I am not afraid to use advance tools (prototype, call, this, bind, recursive...)"
Javascript,Asynchrony,3,,FALSE,"I can migrate old code to new asyncronous schema (callbacks2promises, etc...)"
Javascript,"ES6, ESx, ESNext ...",2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Browser APIs,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,DOM APIs,3,,FALSE,I can handle complex projects without frameworks
Javascript,Old browsers support,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Web Sockets,0,,FALSE,
Javascript,AJAX,3,,FALSE,I can create a full implementation in the client side using the Browser API or external libraries
Javascript,Patterns,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Regex,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Functional,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,POO,0,,FALSE,
Javascript,Reactive,0,,FALSE,
Javascript,Algorithms,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Data Structures,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Web Workers,0,,FALSE,
Javascript,"Canvas, 3D...",1,,FALSE,"I know the basics about Canvas and 3d (vectorial, scene, ilumination, etc...)"
Javascript,Storage,2,,FALSE,I understand the basics and can read and modify existing code.
Javascript,Testing,3,,FALSE,I am able to implement new tests for Unit testing or E2E testing
